curve_id,Q,H
524,1250.0,338.6666666666667
1044,1700.0,130.0
1047,520.0,222.0
1093,118.0,190.0
647,130.0,1700.0
650,3000.0,272.5
651,1100.0,306.5
731,180.0,280.0
231,490.0,168.0
761,3716.6666666666665,66.0
250,2712.5,207.5
251,615.0,215.0
252,2530.0,166.0
764,40.0,450.0
253,735.0,217.5
254,280.0,230.0
256,990.0,265.3333333333333
257,620.0,270.0
258,5500.0,112.0
259,314.0,155.0
260,475.0,231.5
261,2076.6666666666665,178.33333333333334
262,1700.0,245.0
263,3015.0,205.0
264,1450.0,181.0
265,400.0,177.0
266,860.0,130.0
267,4000.0,150.0
268,440.0,220.0
269,4106.666666666667,387.6666666666667
270,7500.0,400.0
271,450.0,369.0
272,200.0,216.0
273,12000.0,250.0
274,950.0,230.0
275,350.0,275.0
255,820.0,235.0
277,3250.0,191.5
278,1350.0,240.0
279,80.0,200.0
280,3230.0,150.0
281,185.0,240.0
282,18430.0,224.4
283,472.5,254.0
284,3500.0,240.0
285,3833.3333333333335,217.33333333333334
286,3120.0,520.0
287,280.0,287.5
288,220.0,210.0
289,120.0,196.0
290,275.0,220.0
291,375.0,238.0
292,1920.0,200.0
293,910.0,235.0
294,520.0,141.0
296,371.6666666666667,371.6666666666667
297,525.0,169.0
298,800.0,290.0
299,262.5,213.5
300,1800.0,215.0
301,300.0,64.0
302,200.0,145.0
303,183.0,360.0
304,730.0,170.5
305,800.0,275.0
307,116.0,273.0
308,4883.333333333333,213.0
309,475.0,255.0
310,200.0,240.0
311,3750.0,410.0
312,500.0,220.0
313,450.0,260.0
314,13333.333333333334,103.0
315,455.0,169.0
316,1160.0,220.0
317,250.0,116.0
318,500.0,227.0
319,1730.0,228.5
320,1440.0,295.0
321,202.0,200.0
322,100.0,220.0
324,700.0,265.0
327,395.0,407.5
328,240.0,205.0
329,1550.0,334.0
330,1666.6666666666667,344.6666666666667
331,320.0,235.0
332,1800.0,170.0
333,1400.0,213.0
334,925.0,218.66666666666666
336,1720.0,114.0
337,660.0,225.0
338,174.0,296.0
339,310.0,216.0
341,5150.0,230.0
342,1135.0,240.0
343,3362.5,247.5
344,1300.0,345.0
345,592.0,404.0
346,250.0,220.0
347,550.0,250.0
348,302.5,263.5
349,700.0,242.5
350,300.0,240.0
351,302.5,208.5
352,275.0,247.0
353,1740.0,355.0
354,940.0,335.0
355,2366.6666666666665,521.6666666666666
356,3500.0,493.0
357,550.0,163.0
358,4300.0,140.0
359,300.0,240.0
360,325.0,216.66666666666666
361,267.5,325.0
362,150.0,225.0
363,240.0,196.0
876,300.0,135.0
364,238.0,214.0
365,475.0,247.5
367,5600.0,139.0
368,6416.666666666667,78.66666666666667
369,105.0,360.0
371,2350.0,70.0
372,1200.0,105.0
384,150.0,253.0
385,225.0,330.0
426,940.0,225.0
0,1600.0,250.0
